               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014647,            0.010325,           0.0048419,             0.94216,             0.81062,             0.92877,             0.74694,           0.0076324,           0.0028089,           0.0039902,             0.00307,             0.00307,             0.00307
                  37,            0.017938,             0.01054,           0.0061797,             0.93774,             0.81579,             0.93778,             0.77658,           0.0061829,           0.0026932,           0.0040771,            0.002872,            0.002872,            0.002872
                  38,            0.019216,            0.009676,           0.0088958,              0.9656,             0.78635,              0.9357,             0.77513,           0.0057753,            0.002572,           0.0043747,            0.002674,            0.002674,            0.002674
                  39,            0.015964,            0.010778,           0.0061102,             0.88011,             0.86941,             0.93003,             0.76874,           0.0056183,           0.0027823,           0.0041718,            0.002476,            0.002476,            0.002476
                  40,            0.017557,           0.0097153,           0.0093322,             0.92878,             0.83477,             0.92865,             0.78805,           0.0049394,           0.0025896,           0.0038513,            0.002278,            0.002278,            0.002278
                  41,            0.013333,            0.009303,           0.0043193,             0.91176,             0.83302,             0.92579,             0.78437,            0.005457,           0.0026282,           0.0037979,             0.00208,             0.00208,             0.00208
                  42,            0.015872,            0.009199,           0.0059949,             0.89455,             0.83816,              0.9139,             0.76511,           0.0055613,           0.0025901,           0.0039162,            0.001882,            0.001882,            0.001882
                  43,            0.012595,           0.0099696,           0.0049543,             0.84851,             0.84167,             0.91359,             0.77692,             0.00529,           0.0024923,           0.0038216,            0.001684,            0.001684,            0.001684
                  44,            0.015411,           0.0096005,           0.0057524,             0.82858,              0.8813,             0.91508,             0.78209,           0.0049042,           0.0023619,           0.0037628,            0.001486,            0.001486,            0.001486
                  45,            0.013286,           0.0094863,           0.0042615,             0.89705,             0.81062,             0.90895,             0.77626,            0.004491,           0.0023525,           0.0037643,            0.001288,            0.001288,            0.001288
                  46,            0.014109,           0.0096824,           0.0063099,             0.84278,             0.87411,             0.91562,              0.7816,           0.0048992,           0.0023965,           0.0036453,             0.00109,             0.00109,             0.00109
                  47,             0.01235,           0.0091298,           0.0037818,             0.88165,             0.89182,             0.91973,             0.78701,           0.0044034,           0.0024492,           0.0034336,            0.000892,            0.000892,            0.000892
                  48,            0.012806,           0.0091201,           0.0050312,             0.89832,             0.88777,             0.92515,             0.80118,           0.0044411,           0.0024197,           0.0033398,            0.000694,            0.000694,            0.000694
                  49,            0.014256,           0.0092801,           0.0054021,             0.88671,              0.8857,             0.92541,             0.80065,           0.0043288,           0.0023665,            0.003368,            0.000496,            0.000496,            0.000496
